United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
2001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.2,5.6,6.5,5.4,6.8,5.3,6.8,1,14.0,11.8,15.0,11.3,15.8,11.0,16.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,20.2,17.4,21.5,16.7,22.6,16.3,23.0
2002,1,14.9,14.8,16.3,14.5,16.7,14.3,16.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.6,4.1,4.9,4.0,5.1,3.9,5.3,2,3.7,3.2,4.0,3.0,4.2,2.9,4.5,1,2.1,1.6,1.9,1.5,2.0,1.5,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,25.3,23.7,27.1,23.0,28.0,22.6,28.7
2003,1,8.1,7.4,8.2,7.2,8.4,7.1,8.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12.8,11.4,14.3,11.0,14.8,10.5,15.2,1,8.7,7.4,9.0,7.2,9.4,7.1,9.7,1,6.1,5.2,6.5,5.1,6.8,4.9,7.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,35.7,31.4,38.0,30.5,39.4,29.6,40.7
2004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.7,2.4,2.9,2.4,3.0,2.2,3.2,4,82.8,74.2,88.4,72.1,91.6,70.8,93.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,85.5,76.6,91.3,74.5,94.6,73.0,96.6
2005,1,2.3,2.2,2.6,2.2,2.6,2.1,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.3,1.2,1.3,1.2,1.4,1.1,1.4,4,245.1,205.8,267.9,195.4,283.2,189.1,292.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,248.7,209.2,271.8,198.8,287.2,192.3,296.9
2006,1,8.8,8.3,9.5,8.0,9.8,7.9,10.0,1,2.2,2.0,3.1,1.9,3.3,1.8,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10.2,9.3,10.6,9.1,10.9,8.7,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2,1.9,2.2,1.8,2.3,1.8,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,23.4,21.5,25.4,20.8,26.3,20.2,27.0
2007,1,5.1,5.1,5.6,5.0,5.7,4.9,5.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.9,4.4,5.7,4.2,5.9,4.0,5.9,1,3.5,3.1,3.5,3.0,3.6,3.0,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.8,3.6,4.2,3.6,4.3,3.4,4.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,17.3,16.2,19.0,15.8,19.5,15.3,20.0
2008,1,9.7,9.1,10.4,8.9,10.7,8.7,10.9,1,13.7,10.8,13.6,10.2,14.1,9.9,14.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12.3,11.4,13.2,11.1,13.6,10.7,13.8,3,49.9,45.7,53.5,44.4,55.3,43.7,56.3,1,1.7,1.5,1.8,1.5,1.9,1.3,1.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,87.3,78.5,92.5,76.1,95.6,74.3,97.3
2009,1,4.8,4.7,5.8,4.6,6.0,4.5,6.2,1,1.2,0.9,1.2,0.9,1.2,0.8,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.0,10.0,11.2,9.9,11.4,9.6,11.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.2,1.5,1.2,1.6,1.1,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,18.4,16.8,19.7,16.6,20.2,16.0,20.7
2010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.6,4.0,5.7,3.7,6.2,3.7,6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12.1,11.8,13.6,11.4,14.0,11.2,14.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.1,1.1,1.4,1.1,1.5,1.0,1.5,7,18.8,16.9,20.7,16.2,21.7,15.9,22.1
